"[run number]","[step]","initial-density","count patches with [pcolor = white]","count patches with [pcolor = red]"
"937","10","0.07","703","718"
"939","10","0.67","185","188"
"940","10","0.58","189","202"
"942","10","0.56","314","310"
"938","10","0.7","61","61"
"943","10","0.59","249","244"
"944","10","0.23","962","1027"
"945","10","0.27","855","924"
"954","1","0.87","0","8725"
"955","2","0.78","0","3"
"947","10","0.34","695","749"
"960","1","0.98","0","9816"
"948","10","0.44","558","583"
"949","10","0.14","953","1014"
"946","10","0.67","115","103"
"950","10","0.14","923","962"
"951","10","0.6","194","194"
"952","10","0.69","95","95"
"965","2","0.77","0","5"
"957","10","0.57","245","248"
"959","10","0.73","34","34"
"956","10","0.4","551","549"
"953","10","0.11","837","859"
"969","2","0.81","0","3"
"961","10","0.61","115","117"
"958","10","0.37","729","760"
"963","10","0.07","672","701"
"962","10","0.19","771","840"
"966","10","0.54","437","461"
"977","2","0.82","0","1"
"978","1","0.99","0","9905"
"968","10","0.67","65","65"
